Group,Adenine,Adenosine,Arginine,Creatine,Ethylparaben,Leucine,Methyl bisulfate,ARJ9BCX6YH,Ornithine,Phenylalanine,Uric Acid,Xanthine
Plasma,284574.2576,32073.02436,3233594.867,89481.00819,36102.22746,136871.7947,70176.78166,95696.29407,11413455.65,276061.5587,231491039.1,4610064.381
Plasma,370511.6629,132332.7827,816740.6559,136285.7205,87881.9768,116295.2818,53945.2743,102981.478,10777063.69,437911.5751,193089610.3,2249846.797
Plasma,302418.4248,112946.682,815358.1687,61329.05706,150210.9953,183580.1131,50531.59103,118819.3282,9355855.603,314809.7116,104642259,2294765.28
Plasma,332639.4847,115716.073,1028725.352,180271.5218,45109.04321,140506.9961,42873.86582,102114.1108,8946208.216,392954.477,277933900.8,2061788.701
Plasma,227853.0127,94396.40254,306099.2514,102290.1197,83433.24495,105529.635,65136.25061,86999.59173,10074999.73,281508.9583,144407306.4,2131294.043
Plasma,264276.6463,94750.37254,1433846.043,229265.4929,103846.743,102925.7736,56215.18315,95734.81943,8320811.907,295475.1616,239210479.2,714429.5892
Plasma,228358.6686,69417.97036,1444452.847,168355.338,124074.3549,214079.3506,62251.48992,84000.94472,7234703.917,358985.8947,356433819.3,2191380.582
Plasma,245620.5953,77652.267,1296231.118,117165.4091,112071.1614,95143.39078,60733.12454,194338.0146,11972084.42,601489.6768,301400101.8,2626731.837
Plasma,443279.6232,852686.5212,1256526.746,125604.3025,54527.65947,113736.9037,237803.4621,401554.0718,5842391.558,161110.8592,191574010.7,2325843.295
Plasma,369832.228,270314.6674,381195.6718,158536.3144,184752.2438,119686.916,229528.2324,533294.9734,9364859.594,317393.9705,199029817,1252164.319
Plasma,336155.272,266922.0373,1187068.818,104538.2105,168048.9765,150399.9424,253880.6764,340313.7533,8188275.889,106810.0425,124942420.9,412762.5081
Plasma,350591.1524,234654.1988,293366.4141,212788.8717,126177.6382,57044.30862,188152.8421,347345.8061,7745849.8,147467.3354,138073861.5,1429637.212
Plasma,263520.4952,124469.5224,264077.223,114887.074,254172.3789,86158.049,221251.7494,439531.482,8131526.368,87212.35539,142050144,775998.3713
Plasma,366989.3815,331199.6082,460074.8797,251549.1987,172696.2023,71898.63053,208687.3009,456023.9292,8108629.34,200117.8217,107570430,353531.6973
Plasma,315385.4835,96922.38073,137011.6871,222260.4863,192537.2519,129835.1555,222341.5226,658004.2867,6804511.155,186992.8223,140266980.5,1593418.22
Plasma,349393.3765,686662.9575,627577.2576,170023.494,164701.7644,104108.558,223092.2551,386509.4283,8965073.947,172443.601,183660118.7,937907.2706
EBC,259997.0279,6916.915827,177476.9095,3277748.108,295402.352,2356272.329,5182639.138,117223.6336,14031646.26,273505.4371,341585.5839,36874510.07
EBC,982384.2228,7710.853415,200908.9568,8612171.204,383812.9647,6472579.291,3406886.872,197700.3247,22627720.82,519483.7475,431249.2831,120763036.5
EBC,861766.8729,13408.42942,195614.7869,2564864.44,351477.4966,2130744.11,4793535.05,124532.9846,22140575.41,652343.9413,392981.9205,102325876.9
EBC,1222426.873,7239.1781,144879.1047,2436965.314,526838.8763,1869888.815,2018869.618,121344.8714,22099313.84,1031355.718,555686.0122,83282812.23
EBC,699340.5967,13368.0464,102547.0516,1524365.594,302622.7823,1985597.78,2317235.813,111635.4223,23253563.22,548769.7894,346783.3335,76731134.17
EBC,1778111.046,13996.01562,89073.00643,1894276.758,615272.3317,1380453.321,2052408.412,265021.2469,40364625.57,1922947.826,617492.6319,50898955.37
EBC,1402367.211,8869.307035,327365.3374,4801099.004,516484.6902,2517744.807,8200886.464,67630.54912,31377564.67,835575.4313,579587.731,83691775.28
EBC,1423630.874,11597.29489,451895.1581,4100581.05,495510.3367,2909656.86,13488651.74,118067.9191,26652169.61,763338.0295,557649.5138,38069617.79
EBC,553910.6597,84781.02758,158441.4413,1516201.187,135806.5059,2303884.289,2312016.903,77327.34721,20425166.15,444517.8511,185174.7883,41562746.58
EBC,347768.062,20334.45148,56882.4744,4967216.654,155465.2624,3782461.315,850838.423,10000.76966,9272226.976,210787.2456,184130.7167,40114226.42
EBC,268108.1704,7150.586204,70836.49113,1695113.826,84894.22899,2537126.364,1679438.548,33694.72417,10635560.08,193098.1072,124707.3599,68759213.72
EBC,875197.5454,8614.618737,87637.6767,1032528.062,435702.0473,600032.9621,950268.3545,103357.8097,27135289.53,687068.0523,473922.6531,54078669.51
EBC,584796.8692,107237.094,100360.8838,3165353.839,160996.727,1215120.68,1213869.35,106093.7296,15634124.08,765381.3058,244894.887,80541667.81
EBC,739465.8337,135744.4279,5893.639175,1326218.085,279644.8191,803712.8055,826597.6825,79589.00984,28405589.31,940882.1481,327705.3591,31507898.28
EBC,519221.8356,108449.2417,42279.10342,870832.3118,292374.5313,649551.2453,313235.5564,16254.15257,14671950.59,167043.9954,341653.3759,34991407.02
EBC,845025.6516,21470.99772,78070.47244,1914807.568,479170.3695,1550758.049,1559828.719,32551.73742,14627856.25,438089.0804,522168.5509,38508034.67
