Group,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12
Plasma,286764.1499,33304.87007,3253796.857,90630.98873,38445.21591,137136.4169,73061.53677,103362.5195,11457931.89,280648.2917,233622864.9,4657403.692
Plasma,370796.1765,135382.563,837973.8066,137526.2972,89829.03134,117220.2736,56800.79928,103880.0054,10779910.36,438196.3231,194252274.4,2266467.823
Plasma,303343.0057,118480.6846,832603.1331,61951.51341,152005.5406,185462.6219,52916.97383,125974.2299,9426620.356,316302.4739,106877938.7,2317824.875
Plasma,335173.0211,126755.0621,1050611.666,181235.4382,45487.47616,141594.3149,45491.59745,105080.0472,9006427.759,394076.8663,280283041.9,2081587.643
Plasma,229607.7388,103082.0994,313010.0812,104623.2823,85699.61559,107068.6802,67743.70964,90164.07621,10078304.62,286777.8371,145131565.3,2161204.793
Plasma,265780.4868,104049.3065,1453447.455,230034.9284,104465.7939,104313.4047,56608.3657,99688.78773,8357332.838,296540.5796,241916870.9,763532.974
Plasma,230471.6027,74779.4613,1457354.792,169497.1799,125561.6373,214553.8616,62639.8795,89931.28156,7283057.045,365483.6811,359548660.6,2233331.977
Plasma,247152.0665,88583.10706,1321937.438,117248.3278,112632.5232,95501.22693,63113.23446,194617.3737,12000536.86,602759.4141,302468047.5,2638596.178
Plasma,444215.2719,860224.6181,1274145.462,126328.6778,55565.70045,115422.6588,240285.0706,405452.1925,5853191.68,167443.1987,192527897.1,2337824.302
Plasma,370138.8356,272996.2062,384611.9215,159413.2023,185127.2341,120267.3282,231510.8224,535339.4981,9403979.987,322900.442,201478748.9,1293517.887
Plasma,337532.7783,270904.8459,1193444.281,106486.901,168768.3523,151151.8617,257044.4818,345619.399,8226741.783,108728.4994,128339059.8,422835.3837
Plasma,351121.6699,239813.761,303635.7139,214513.5686,126314.4772,58643.21508,190564.67,352961.4228,7818384.123,150550.0879,138534313.9,1474474.266
Plasma,265475.9348,132105.6102,288506.8232,114990.8065,256982.9768,87583.60924,224350.961,444810.533,8193913.632,93046.9655,143251954.2,803546.5197
Plasma,369792.1635,332774.4781,485397.8269,254016.9782,173599.6708,72398.41751,209075.4576,460233.151,8120392.754,200827.3671,108310966,394916.0232
Plasma,315770.1073,100897.7544,166792.0099,224722.0472,194472.2166,130668.3054,224629.363,658956.4588,6863801.828,189059.1762,140626615.8,1615686.193
Plasma,350775.0803,695711.3462,638233.1387,172179.9818,165703.9528,104537.0044,226650.5399,389219.8793,8967094.476,178350.0567,184644398.7,978881.0547
EBC,264543.026,8215.711872,178291.8438,3363941.958,296839.3366,2371847.756,5254747.336,117259.4311,14265391.5,281565.7535,348171.0212,37029395.5
EBC,1003023.077,8176.231634,203895.1371,8670069.668,384977.0353,6486948.778,3532485.24,200431.293,22686450.89,536172.6805,436755.5855,121265580.2
EBC,869332.9158,13982.4618,201052.2514,2641696.971,357242.892,2145295.79,4883972.192,127471.6683,22473430.7,653006.5691,395601.5014,102371022.3
EBC,1241289.786,7334.646558,148235.6853,2449438.052,533331.6328,1872731.939,2021719.211,123141.0851,22199692.9,1035743.964,562600.0478,84044493.68
EBC,701725.9968,14676.65937,102948.0529,1609885.071,303966.4309,1988545.231,2369426.754,114387.5475,23508239.04,565134.9831,348140.1064,77747813.24
EBC,1792627.281,15745.17319,90335.97962,1968423.241,617701.8511,1425476.321,2211001.251,266028.7896,40633984.09,1934806.366,624298.9523,52013612.11
EBC,1409132.968,10112.34916,329410.2496,4822375.087,517228.578,2526459.835,8222482.076,68016.15997,31675153.93,846662.624,585517.0074,83868088.36
EBC,1431059.22,11827.03653,455955.6784,4129704.583,498511.4206,2955403.992,13592684.2,120024.1926,26831886.09,778675.2436,560449.851,38985257.03
EBC,572801.0175,85702.714,161981.0152,1526397.388,137800.2928,2363148.159,2374487.751,77610.45208,20683349.8,450439.1962,191245.8995,41859939.58
EBC,354341.3887,21776.16732,61349.58396,5010552.506,159511.6925,3843202.957,917078.6364,11992.82567,9623741.662,228316.1586,190331.1999,40206783.87
EBC,281192.445,7906.664641,72503.70221,1745640.076,88606.32454,2555031.556,1766750.828,36205.57091,11002698.4,194623.7165,128710.5355,69430309.85
EBC,889667.9588,9908.644587,88664.61377,1037146.343,436330.6056,626078.2167,1092419.853,103915.0601,27421952.64,695487.2585,475490.3984,54349111.23
EBC,586468.4034,109032.3771,100722.3183,3191180.303,166906.1412,1236717.46,1319438.213,106244.001,15799625.42,781189.0628,251421.3678,80665820.85
EBC,743502.6309,137403.1125,7168.283148,1394933.529,285898.9176,842497.404,830583.3895,80433.47714,28802424.82,960429.9575,328472.7535,32000274.03
EBC,523413.8801,110412.4072,44847.78578,928085.962,298609.5497,687243.3209,343824.7352,16995.8592,14903867.22,177292.2947,345584.408,35447779.48
EBC,849440.1594,22784.66504,81986.19047,1959919.722,481267.3071,1563656.381,1691543.051,33695.77582,15004500.82,448657.5242,523225.8999,38524174.49
