group,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39,M40,M41,M42,M43,M44,M45,M46
Low Exp,118864.2618,274973.032,8548312.861,388838.1347,38114.21424,444519.4939,1613783.162,137431.5081,518894.7253,1230271.279,1118544.475,707003.5716,48679.52942,405776.6558,319769.3757,1159965.986,6692438.306,121509.9921,77327.34721,1318474.447,583557.237,14423.60547,65323.48028,91469.65146,179761.8121,2358094.666,224438.9052,4401937.316,6987911.333,6974.711443,260224.7253,4355010.487,64500.96278,184100.509,639624.227,146429.8914,47299.18251,100174.0419,69661.34182,84840.1456,70139.34486,293976.9801,124118.7717,935581.8429,1250909.733,286040.4935
Low Exp,79294.4857,322741.3518,4056516.157,167325.2052,70807.75788,424734.8894,1032673.995,48197.57843,206096.2951,607580.2342,1452969.255,277741.9723,261346.8218,926112.2275,303042.8689,1060555.92,3450746.146,143244.0144,10000.76966,1460107.488,598439.5491,4876.135422,29824.68366,208477.2763,73106.0705,1249273.181,250846.2688,4279359.48,2612521.037,19860.25766,243377.553,3728562.319,42604.75315,81381.82045,18870.9848,23450.8606,11920.0321,35345.02453,26567.55113,14200.98002,33348.26538,251703.9852,156028.2924,974682.9813,1070977.771,214759.5243
Low Exp,135188.7449,312346.201,1320411.233,19652.83827,73012.07092,323733.109,598531.2833,19540.8861,24405.38608,97425.57146,1187232.157,408426.8427,253227.8173,613624.4621,389506.3306,1670575.308,966456.9832,92884.37374,33694.72417,1733831.557,765450.8106,7806.125547,9777.080366,22546.60407,31741.15703,892036.8519,287006.1979,5745936.383,950017.2747,19485.77612,283528.9238,2899736.911,39216.02322,4694.006808,59986.00585,6076.272408,3514.375516,29812.6289,7390.450729,8917.901175,9390.320511,26515.49377,87866.7361,1080695.44,1290062.409,66239.73706
Low Exp,136701.797,362119.2836,12754452.55,563195.7797,183942.8381,608509.5635,748950.604,124119.8096,619836.194,822553.31,1491224.634,136274.6732,431046.5367,1040145.508,699015.6319,2356002.17,4791296.731,215019.119,103357.8097,3109202.151,632999.9678,73079.48264,275225.5437,332592.2711,623740.2244,757343.953,436707.2782,8849783.142,6992707.347,94110.95552,385845.0521,4007260.545,80705.46861,297436.3997,253531.7704,198019.0047,78857.01331,145540.4808,254337.7153,140533.4552,52644.15618,343994.6852,212019.0358,1457659.293,1425321.033,408858.2974
Low Exp,86112.71844,205731.8369,6737107.258,257606.2292,118503.5584,379913.507,1038447.102,73812.96888,279372.7501,1413141.046,945875.7695,892537.2777,192775.6363,1304152.041,610558.4691,3191832.694,3898526.747,190350.5604,106093.7296,2587917.429,356919.9208,24614.37284,96762.63369,273210.5183,519146.0281,1009562.667,285701.6456,7852598.557,3529124.226,74768.85438,375030.8821,4861069.052,94394.113,103497.1201,209632.8432,67277.1548,8045.277479,151630.9058,62369.32875,30464.91162,41936.36946,263237.2338,198033.0695,1727075.649,1842525.512,171321.6257
Low Exp,183139.6919,200616.989,7069331.155,308272.9938,161113.4131,411727.3693,809759.4536,110257.9445,378811.791,1206405.513,1095753.354,1018506.577,432712.9926,1078109.531,545103.8673,3047456.884,2657865.932,200627.108,79589.00984,2460608.378,1317184.552,8889.455362,83330.44193,39404.45277,512836.1181,708360.9024,258196.732,6041931.927,3776385.463,79047.70543,258580.9762,3784939.934,119964.4477,169086.1499,447151.4415,81679.81641,9502.36814,136587.5533,55149.03332,67331.19005,7109.361796,233632.3514,214266.4658,1844413.38,2422171.179,336356.2336
Low Exp,80448.27823,225591.8154,4467749.69,176813.4152,53914.90341,452159.7998,664897.4859,104587.1057,176260.6369,1103677.634,1144421.208,1639898.403,354873.7879,1188793.566,27037.96914,2169313.375,4300691.343,142086.5022,16254.15257,684674.7161,1166427.147,10026.67646,27719.68144,150344.4238,184880.5293,1280513.502,170549.7047,1711557.277,2054598.355,65815.17367,90917.15102,2414455.891,27272.41489,111970.4327,257086.8933,7230.685715,5803.565348,125208.215,11344.9922,11311.54784,2277.499814,139307.7875,179753.3623,1009073.313,1677615.643,423564.7997
Low Exp,131164.1164,295663.7466,3267388.317,94993.74536,34376.47111,510858.2195,980001.3915,38630.25674,15580.47196,1900994.312,1423945.275,714514.7613,316526.8146,1023510.86,109041.9902,2186260.591,4231363.15,187849.8583,32551.73742,433550.9826,250514.8877,9761.845834,10605.7937,239976.8291,279035.1089,703469.2334,99858.47551,893867.4658,1508702.401,70866.80039,120785.1775,4234265.929,47349.51889,6372.585402,407860.3428,7765.035384,5478.849509,77093.48475,8839.924255,9673.789781,10100.91404,143856.7752,213352.6361,1378353.902,1896678.354,270634.7102
High Exp,58356.5492,511757.5862,21411502.08,1095377.15,162509.8592,950162.7313,397071.6053,202011.1558,880620.3621,256101.3742,2490463.706,1138800.381,853086.8522,1015695.522,1121040.27,1153292.092,1761610.625,151988.293,117223.6336,4154497.538,763053.8627,161669.2091,493032.3371,260863.2262,1539324.334,4154367.356,766495.5956,12535959.09,9544902.223,30150.11464,491065.8031,6776602.725,99037.98471,479226.2214,634887.2287,370327.7937,139572.135,412367.7502,408647.2178,273178.4011,76094.68036,236212.3289,146039.58,1604877.767,1240329.399,590256.4981
High Exp,30972.53831,707263.7108,15457124.06,644970.7066,318639.2253,986915.2615,569006.296,108323.7335,617385.1123,152054.1101,3350203.668,1551933.911,665658.5344,2118620.577,1830691.389,764946.7922,1069267.664,230284.9351,197700.3247,7029087.59,1178021.373,143427.977,375364.1578,341204.6859,2271743.38,2921545.251,1019266.49,20059181.68,8219384.134,100054.2174,1060423.802,7376665.859,85730.45841,275454.7799,502218.4491,238122.5831,76960.80607,185326.3771,278571.3579,169082.6028,89399.33192,428842.6283,256913.0963,2230602.857,1040450.52,932047.196
