group,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39,M40,M41,M42,M43,M44,M45,M46
Low Exp,31.625325,0.145455,6.073815,0.86529,0.501495,0.54387,2.332095,1.18683,1.17732,8.97393,0.648315,0.35718,1.240155,0.1365,1.034475,1.281615,0.389445,97.003725,129.57075,3.8115,39.9555,29.075625,14.5305,9.965775,8.3376,2.6193,19.653825,512.9079,15.196125,8.5203,11.8716,7.56705,7.75845,32.92035,3.857025,250.2078,1253.0835,25.310925,386.697825,8.931525,85.30275,2.900625,11.2158,37.6809,14.87325,116.484
Low Exp,25.866735,0.16392,5.73885,0.514695,0.66444,0.321945,1.11138,1.0716,0.270555,8.762715,1.193985,0.39705,1.510185,0.13227,0.98397,0.7125,0.290625,125.9181,154.6164,3.32625,43.376175,26.094975,15.891,9.02925,8.36265,1.546575,20.202525,513.43455,16.14525,6.008025,9.558075,9.844725,8.128125,21.09195,3.3915,261.713025,1007.786925,40.27455,574.485825,26.646825,83.0544,2.634375,8.21925,41.623425,1.479675,110.790075
Low Exp,18.62475,0.16278,4.482915,0.27978,0.33699,0.27963,0.797265,0.86946,1.021815,12.37896,1.13622,0.29595,1.14801,0.097095,1.21836,0.858765,0.314055,85.04625,153.269175,2.94075,56.5269,27.658125,20.408775,14.0682,13.14225,3.87045,22.5999,513.41745,17.502525,10.437,12.3219,11.22735,9.72975,39.780075,4.893,274.254825,962.785425,23.740425,307.61355,32.390775,84.36075,2.814375,8.353725,23.937975,7.539225,109.198425
Low Exp,36.894885,0.123375,4.34514,0.42348,0.613245,0.19221,0.871275,0.936,0.92628,11.65917,0.409155,0.49359,1.16202,0.084,1.134345,0.843585,0.31644,73.073775,139.488675,2.6583,22.593225,25.3434,12.428175,7.237425,2.65695,1.4286,13.5531,541.057425,16.1529,6.20235,12.392475,1.1301,6.032325,18.824775,2.536125,276.4575,896.978175,28.2261,571.0716,14.5722,51.30795,4.85955,7.8108,22.22715,2.658825,107.48205
Low Exp,23.339895,0.1461,5.253015,0.8781,0.737115,0.190305,0.6393,0.948975,0.69687,2.445045,0.509415,0.392655,1.204815,0.138795,0.62526,0.696825,0.260505,103.269675,182.141625,3.045225,51.136275,33.299925,15.638925,8.429325,2.5827,2.9091,16.542675,528.61215,15.20565,8.004825,13.12905,7.3149,9.738375,21.323925,3.544725,262.368,863.378625,26.1225,730.2963,14.199,68.2866,5.631675,9.74085,39.1008,5.03295,112.769925
Low Exp,51.6684,0.158025,4.79994,0.2343,0.44367,0.22299,0.588285,1.14297,0.584175,3.30735,0.321705,0.379905,1.065315,0.0873,0.406425,0.800715,0.210975,71.5296,190.912575,2.555775,33.929325,28.664625,14.811975,3.550725,11.01555,2.487525,14.807625,562.2333,17.38815,7.90965,10.886475,3.5718,6.089475,18.380175,3.233025,272.843025,937.178175,20.87805,628.1322,52.122375,72.3345,1.88595,9.31335,21.7677,6.95835,108.441225
Low Exp,28.232805,0.14265,4.14153,0.410805,0.173505,0.197595,0.513285,0.93279,0.58269,12.98601,0.698025,0.22173,1.16781,0.0909,0.62073,0.991875,0.27996,107.851875,160.8378,4.30185,65.369775,34.946325,32.044125,21.105675,24.807075,11.56515,27.789375,541.038375,13.57395,8.9391,12.255975,12.545775,20.54445,30.537825,5.3289,272.112,1142.82945,11.559825,865.044,33.710625,50.5863,1.7427,11.40285,44.785275,11.283975,119.947575
Low Exp,26.846265,0.151275,5.298735,0.40071,0.346125,0.139965,0.48276,0.923385,0.601635,1.79745,0.39843,0.481935,1.10622,0.11556,0.58917,0.517005,0.23265,61.8885,157.58595,5.741925,27.710175,26.6988,10.3365,2.9772,3.775575,0.42315,11.166525,514.0872,18.3009,7.997925,10.447125,1.0296,7.082025,16.39275,2.13465,270.309375,727.1223,25.1232,668.799975,21.8784,67.987425,2.23455,6.2787,45.661575,9.254775,109.038375
High Exp,8.03712,0.24309,4.51455,0.145125,0.466965,0.112095,0.32133,0.57864,2.721405,22.41471,1.290675,0.48693,1.252965,0.060465,1.09728,1.5093,0.49332,62.28675,171.470025,2.43915,23.72865,25.813875,8.5593,4.28115,0.2844,0.9576,8.278725,405.60585,15.520875,6.817275,3.522975,1.66395,3.976275,15.711825,2.7378,260.23215,527.61015,24.238275,499.404525,21.914325,76.4847,3.08775,6.03975,27.98085,11.452425,79.2417
High Exp,10.93089,0.121485,3.358935,0.36846,0.373875,0.10971,0.3411,0.347535,3.30366,24.69639,0.917145,0.59049,1.21332,0.051255,0.690225,1.5612,0.31749,92.114775,247.2714,2.7261,57.23985,27.9066,20.435925,18.83925,5.7108,3.6774,22.701375,443.30325,16.759125,11.55045,8.696625,9.0558,10.03695,30.60555,3.77415,274.84485,741.986925,12.497025,553.39035,45.83175,44.929425,1.371,8.687475,9.245625,16.0293,101.583975
